glyph_name,ps_name,sort_final,sort_design
uniA900,uniA900,10000,10000
uniA901,uniA901,10001,10001
uniA902,uniA902,10002,10002
uniA903,uniA903,10003,10003
uniA904,uniA904,10004,10004
uniA905,uniA905,10005,10005
uniA906,uniA906,10006,10006
uniA907,uniA907,10007,10007
uniA908,uniA908,10008,10008
uniA909,uniA909,10009,10009
uniA90A,uniA90A,10010,10010
uniA90B,uniA90B,10011,10011
uniA90C,uniA90C,10012,10012
uniA90D,uniA90D,10013,10013
uniA90E,uniA90E,10014,10014
uniA90F,uniA90F,10015,10015
uniA910,uniA910,10016,10016
uniA911,uniA911,10017,10017
uniA912,uniA912,10018,10018
uniA913,uniA913,10019,10019
uniA914,uniA914,10020,10020
uniA915,uniA915,10021,10021
uniA916,uniA916,10022,10022
uniA917,uniA917,10023,10023
uniA918,uniA918,10024,10024
uniA919,uniA919,10025,10025
uniA91A,uniA91A,10026,10026
uniA91B,uniA91B,10027,10027
uniA91C,uniA91C,10028,10028
uniA91D,uniA91D,10029,10029
uniA91E,uniA91E,10030,10030
uniA91F,uniA91F,10031,10031
uniA920,uniA920,10032,10032
uniA921,uniA921,10033,10033
uniA922,uniA922,10034,10034
uniA923,uniA923,10035,10035
uniA924,uniA924,10036,10036
uniA925,uniA925,10037,10037
uniA926,uniA926,10038,10038
uniA927,uniA927,10039,10039
uniA928,uniA928,10040,10040
uniA929,uniA929,10041,10041
uniA92A,uniA92A,10042,10042
uniA92B,uniA92B,10043,10043
uniA92C,uniA92C,10044,10044
uniA92D,uniA92D,10045,10045
uniA92E,uniA92E,10046,10046
uniA92F,uniA92F,10047,10047
_klascNE,_klascNE,19001,19001
_klascNW,_klascNW,19002,19002
_klcircleNE,_klcircleNE,19004,19004
_klcircleNW,_klcircleNW,19005,19005
_klcircleSE,_klcircleSE,19006,19006
_klcircleSEshort,_klcircleSEshort,19007,19007
_klcircleSW,_klcircleSW,19008,19008
_klcircleSWshort,_klcircleSWshort,19009,19009
_klcirclemidW,_klcirclemidW,19011,19011
_kldescSE,_kldescSE,19012,19012
_kldescSW,_kldescSW,19013,19013
_kldescserifSE,_kldescserifSE,19015,19015
_kldescserifSW,_kldescserifSW,19016,19016
_kldiagNW,_kldiagNW,19017,19017
_kldiagNWSE,_kldiagNWSE,19018,19018
_kldiagSE,_kldiagSE,19019,19019
_kldiagSWNE,_kldiagSWNE,19020,19020
_klheadcir,_klheadcir,19022,19022
_klhookascE,_klhookascE,19023,19023
_klhookascW,_klhookascW,19024,19024
_klloopflat,_klloopflat,19027,19027
_klmidE,_klmidE,19028,19028
_klmidEN,_klmidEN,19029,19029
